id,date,province,cumulative_recovered
169,2020-07-04,New Brunswick,39
173,2020-03-04,New Brunswick,25
177,2020-03-30,New Brunswick,2
181,2020-03-26,New Brunswick,0
185,2020-03-22,New Brunswick,0
189,2020-03-18,New Brunswick,0
193,2020-03-14,New Brunswick,0
197,2020-10-03,New Brunswick,-1
201,2020-06-03,New Brunswick,-1
205,2020-02-03,New Brunswick,-1
209,2020-02-27,New Brunswick,-1
213,2020-02-23,New Brunswick,-1
217,2020-02-19,New Brunswick,-1
221,2020-02-15,New Brunswick,-1
225,2020-07-04,NL,49
229,2020-03-04,NL,11
233,2020-03-30,NL,7
237,2020-03-26,NL,0
241,2020-03-22,NL,0
245,2020-03-18,NL,0
249,2020-03-14,NL,0
253,2020-10-03,NL,-1
257,2020-06-03,NL,-1
261,2020-02-03,NL,-1
265,2020-02-27,NL,-1
269,2020-02-23,NL,-1
273,2020-02-19,NL,-1
277,2020-02-15,NL,-1
281,2020-07-04,Nova Scotia,66
285,2020-03-04,Nova Scotia,21
289,2020-03-30,Nova Scotia,10
293,2020-03-26,Nova Scotia,2
297,2020-03-22,Nova Scotia,0
301,2020-03-18,Nova Scotia,0
305,2020-03-14,Nova Scotia,-1
309,2020-10-03,Nova Scotia,-1
313,2020-06-03,Nova Scotia,-1
317,2020-02-03,Nova Scotia,-1
321,2020-02-27,Nova Scotia,-1
325,2020-02-23,Nova Scotia,-1
329,2020-02-19,Nova Scotia,-1
333,2020-02-15,Nova Scotia,-1
337,2020-07-04,Ontario,1802
341,2020-03-04,Ontario,1023
345,2020-03-30,Ontario,431
349,2020-03-26,Ontario,8
353,2020-03-22,Ontario,8
357,2020-03-18,Ontario,5
361,2020-03-14,Ontario,5
365,2020-10-03,Ontario,5
369,2020-06-03,Ontario,4
373,2020-02-03,Ontario,3
377,2020-02-27,Ontario,3
381,2020-02-23,Ontario,3
385,2020-02-19,Ontario,1
389,2020-02-15,Ontario,1
393,2020-07-04,PEI,8
397,2020-03-04,PEI,4
401,2020-03-30,PEI,1
405,2020-03-26,PEI,1
409,2020-03-22,PEI,0
413,2020-03-18,PEI,0
417,2020-03-14,PEI,0
421,2020-10-03,PEI,-1
425,2020-06-03,PEI,-1
429,2020-02-03,PEI,-1
433,2020-02-27,PEI,-1
437,2020-02-23,PEI,-1
441,2020-02-19,PEI,-1
445,2020-02-15,PEI,-1
449,2020-07-04,Quebec,720
453,2020-03-04,Quebec,306
457,2020-03-30,Quebec,84
461,2020-03-26,Quebec,1
465,2020-03-22,Quebec,1
469,2020-03-18,Quebec,1
473,2020-03-14,Quebec,0
477,2020-10-03,Quebec,0
481,2020-06-03,Quebec,0
485,2020-02-03,Quebec,0
489,2020-02-27,Quebec,0
493,2020-02-23,Quebec,-1
497,2020-02-19,Quebec,-1
