id,date,country,recovered
302,2020-03-12,"Korea, South",45
304,2020-03-12,United Kingdom,0
306,2020-03-12,US,4
308,2020-03-13,"Korea, South",177
310,2020-03-13,United Kingdom,0
312,2020-03-13,US,0
314,2020-03-14,"Korea, South",0
316,2020-03-14,United Kingdom,0
318,2020-03-14,US,0
323,2020-03-15,France,0
325,2020-03-16,Italy,414
327,2020-03-16,Spain,13
329,2020-03-16,France,0
331,2020-03-17,Italy,192
333,2020-03-17,Spain,498
335,2020-03-17,France,0
337,2020-03-18,Italy,1084
339,2020-03-18,Spain,53
341,2020-03-18,France,0
343,2020-03-19,Italy,415
345,2020-03-19,Spain,26
347,2020-03-19,France,0
349,2020-03-20,Italy,0
351,2020-03-20,Spain,481
353,2020-03-20,France,0
355,2020-03-21,Italy,1632
357,2020-03-21,Spain,537
359,2020-03-21,France,0
361,2020-03-22,Italy,952
363,2020-03-22,Spain,450
365,2020-03-22,France,2194
367,2020-03-23,Italy,0
369,2020-03-23,Spain,0
370,2020-03-23,United Kingdom,0
371,2020-03-23,France,0
372,2020-03-23,US,0
373,2020-03-24,Italy,1302
374,2020-03-24,"Korea, South",598
375,2020-03-24,Spain,1219
376,2020-03-24,United Kingdom,73
377,2020-03-24,France,1044
378,2020-03-24,US,170
379,2020-03-25,Italy,1036
380,2020-03-25,"Korea, South",223
381,2020-03-25,Spain,1573
382,2020-03-25,United Kingdom,0
384,2020-03-25,US,13
386,2020-03-26,"Korea, South",414
388,2020-03-26,United Kingdom,10
390,2020-03-26,US,320
392,2020-03-27,"Korea, South",384
394,2020-03-27,United Kingdom,1
396,2020-03-27,US,188
398,2020-03-28,"Korea, South",283
400,2020-03-28,United Kingdom,0
402,2020-03-28,US,203
404,2020-03-29,"Korea, South",222
406,2020-03-29,United Kingdom,0
408,2020-03-29,US,1593
410,2020-03-30,"Korea, South",195
412,2020-03-30,United Kingdom,20
414,2020-03-30,US,2979
416,2020-03-31,"Korea, South",180
418,2020-03-31,United Kingdom,8
420,2020-03-31,US,1380
422,2020-04-01,"Korea, South",159
424,2020-04-01,United Kingdom,0
426,2020-04-01,US,1450
428,2020-04-02,"Korea, South",261
430,2020-04-02,United Kingdom,13
432,2020-04-02,US,527
434,2020-04-03,"Korea, South",193
436,2020-04-03,United Kingdom,16
438,2020-04-03,US,706
440,2020-04-04,"Korea, South",304
442,2020-04-04,United Kingdom,7
444,2020-04-04,US,4945
446,2020-04-05,"Korea, South",138
448,2020-04-05,United Kingdom,14
450,2020-04-05,US,2796
452,2020-04-06,"Korea, South",135
454,2020-04-06,United Kingdom,58
456,2020-04-06,US,2133
458,2020-04-07,"Korea, South",96
459,2020-04-07,Spain,2771
461,2020-04-07,France,2095
463,2020-04-08,Italy,2099
464,2020-04-08,Italy,2099
465,2020-04-08,"Korea, South",82
466,2020-04-08,"Korea, South",82
467,2020-04-08,Spain,4813
468,2020-04-08,Spain,4813
469,2020-04-08,United Kingdom,20
470,2020-04-08,United Kingdom,20
471,2020-04-08,France,1929
472,2020-04-08,France,1929
473,2020-04-08,US,1796
474,2020-04-08,US,1796
475,2020-04-09,Italy,1979
476,2020-04-09,"Korea, South",197
477,2020-04-09,Spain,4144
478,2020-04-09,United Kingdom,14
479,2020-04-09,France,1961
480,2020-04-09,US,1851
481,2020-04-10,Italy,1985
482,2020-04-10,"Korea, South",144
483,2020-04-10,Spain,3503
484,2020-04-10,United Kingdom,229
485,2020-04-10,France,1782
486,2020-04-10,US,3380
487,2020-04-11,Italy,2079
488,2020-04-11,"Korea, South",126
489,2020-04-11,Spain,3441
490,2020-04-11,United Kingdom,34
491,2020-04-11,France,1468
492,2020-04-11,US,2480
493,2020-04-12,Italy,1677
494,2020-04-12,"Korea, South",125
495,2020-04-12,Spain,3282
496,2020-04-12,United Kingdom,4
497,2020-04-12,France,806
498,2020-04-12,France,806
499,2020-04-12,US,1718
500,2020-04-12,US,1718
501,2020-04-13,Italy,1224
502,2020-04-13,"Korea, South",79
503,2020-04-13,Spain,2336
504,2020-04-13,United Kingdom,-322
505,2020-04-13,France,532
506,2020-04-13,US,10494
507,2020-04-14,Italy,1695
508,2020-04-14,"Korea, South",87
