id,date,icu_level,region,lhin,critical_care_beds,critical_care_patients,vented_beds,vented_patients,suspected_covid,suspected_covid_ventilator,confirmed_positive,confirmed_positive_ventilator,confirmed_negative
112,2020-04-01,, Central,5. CW,68,49,26,33,16,11.0,6,4,4.0
113,2020-04-01,, Central,6. MH,130,113,116,51,28,21.0,11,6,5.0
114,2020-04-01,, Central,8. Central,153,140,130,88,31,19.0,28,26,14.0
115,2020-04-01,, Central,12. NSM,48,27,26,9,6,1.0,3,3,8.0
116,2020-04-01,, Toronto,9. CE,163,141,109,80,47,27.0,27,23,11.0
117,2020-04-01,, East,10. SE,103,96,57,32,15,11.0,4,2,6.0
118,2020-04-01,, East,11. Champlain,199,167,119,54,47,18.0,6,6,10.0
119,2020-04-01,, East,13. NE,102,68,53,17,14,4.0,0,0,8.0
120,2020-04-01,, North,14. NW,30,17,16,5,5,1.0,0,0,0.0
121,2020-04-01,, North,7. TC,373,291,266,100,44,20.0,26,16,48.0
122,2020-04-04,,Central,L5: CW,68,49,99,32,12,,11,9,
123,2020-04-04,,Central,L6: MH,130,95,162,66,26,,17,15,
124,2020-04-04,,Central,L8: Central,153,126,204,85,22,,34,28,
125,2020-04-04,,Central,L12: NSM,48,25,57,13,8,,3,3,
126,2020-04-04,,East,L9: CE,163,119,158,82,41,,30,29,
127,2020-04-04,,East,L10: SE,103,68,78,26,14,,4,2,
128,2020-04-04,,East,L11: Champlain,199,132,214,49,28,,15,14,
129,2020-04-04,,North,L13: NE,102,49,81,12,12,,4,1,
130,2020-04-04,,North,L14: NW,30,13,37,4,7,,0,0,
131,2020-04-04,,Toronto,L7: Toronto,373,238,344,75,51,,35,21,
132,2020-04-04,,West,L1: ESC,87,50,108,30,24,,11,10,
133,2020-04-04,,West,L2: SW,187,123,114,23,26,,10,4,
134,2020-04-04,,West,L3: WW,98,64,67,27,14,,15,11,
135,2020-04-04,,West,L4: HNHB,271,158,248,38,25,,11,7,
136,2020-04-05,,Central,L5: CW,68,46,99,16,11,,13,5,
137,2020-04-05,,Central,L6: MH,130,97,162,67,28,,20,18,
138,2020-04-05,,Central,L8: Central,153,127,204,87,25,,37,32,
139,2020-04-05,,Central,L12: NSM,48,23,57,12,6,,3,3,
140,2020-04-05,,East,L9: CE,163,114,158,70,36,,33,28,
141,2020-04-05,,East,L10: SE,103,66,78,24,8,,5,3,
142,2020-04-05,,East,L11: Champlain,199,120,214,47,34,,15,14,
143,2020-04-05,,North,L13: NE,102,41,81,9,10,,3,1,
144,2020-04-05,,North,L14: NW,30,10,37,3,7,,0,0,
145,2020-04-05,,Toronto,L7: Toronto,373,229,344,82,46,,39,24,
146,2020-04-05,,West,L1: ESC,87,49,108,25,21,,9,8,
147,2020-04-05,,West,L2: SW,187,119,114,20,26,,11,5,
148,2020-04-05,,West,L3: WW,98,67,67,29,15,,17,12,
149,2020-04-05,,West,L4: HNHB,271,142,248,36,24,,11,7,
150,2020-04-06,,Central,L5: CW,68,49,99,37,14,,14,12,
151,2020-04-06,,Central,L6: MH,130,98,162,65,24,,23,20,
152,2020-04-06,,Central,L8: Central,153,125,204,84,21,,43,33,
153,2020-04-06,,Central,L12: NSM,48,26,57,10,3,,3,3,
154,2020-04-06,,East,L9: CE,163,113,158,76,28,,34,29,
155,2020-04-06,,East,L10: SE,103,61,78,24,7,,4,3,
156,2020-04-06,,East,L11: Champlain,199,122,214,47,22,,15,14,
157,2020-04-06,,North,L13: NE,102,51,81,13,12,,3,1,
158,2020-04-06,,North,L14: NW,30,12,37,2,4,,0,0,
159,2020-04-06,,Toronto,L7: Toronto,373,238,344,96,39,,40,30,
160,2020-04-06,,West,L1: ESC,87,56,108,26,16,,11,10,
161,2020-04-06,,West,L2: SW,187,112,114,38,28,,10,8,
162,2020-04-06,,West,L3: WW,98,65,67,29,11,,20,14,
163,2020-04-06,,West,L4: HNHB,271,161,248,45,34,,13,10,
164,2020-04-08,,Central,L5: CW,68,50,99,34,11,,14,12,
165,2020-04-08,,Central,L6: MH,130,104,162,64,18,,27,23,
166,2020-04-08,,Central,L8: Central,153,121,204,85,11,,48,36,
167,2020-04-08,,Central,L12: NSM,48,31,57,10,5,,3,2,
168,2020-04-08,,East,L9: CE,163,116,158,79,34,,36,32,
169,2020-04-08,,East,L10: SE,103,66,78,30,12,,8,7,
170,2020-04-08,,East,L11: Champlain,199,119,214,44,24,,19,13,
171,2020-04-08,,North,L13: NE,102,46,81,8,15,,4,1,
172,2020-04-08,,North,L14: NW,30,11,37,1,1,,1,0,
173,2020-04-08,,Toronto,L7: Toronto,373,252,344,134,52,,49,44,
174,2020-04-08,,West,L1: ESC,87,54,108,25,15,,13,10,
175,2020-04-08,,West,L2: SW,187,111,114,41,32,,10,8,
176,2020-04-08,,West,L3: WW,98,64,67,29,10,,18,14,
177,2020-04-08,,West,L4: HNHB,271,153,248,51,30,,14,12,
178,2020-04-08,,Central,L5: CW,68,50,99,34,11,,14,12,
179,2020-04-08,,Central,L6: MH,130,104,162,64,18,,27,23,
180,2020-04-09,,Central,L5: CW,68,49,105,36,12,,14,12,
181,2020-04-09,,Central,L6: MH,130,107,207,69,21,,25,20,
182,2020-04-09,,Central,L8: Central,153,119,247,88,12,,47,39,
183,2020-04-09,,Central,L12: NSM,48,22,71,8,5,,2,2,
184,2020-04-09,,East,L9: CE,163,121,186,80,37,,34,30,
185,2020-04-09,,East,L10: SE,103,64,94,33,11,,8,8,
186,2020-04-09,,East,L11: Champlain,199,132,304,48,23,,21,18,
187,2020-04-09,,North,L13: NE,102,49,122,11,15,,4,1,
188,2020-04-09,,North,L14: NW,30,13,40,0,2,,1,0,
189,2020-04-09,,Toronto,L7: Toronto,373,257,474,121,52,,48,44,
190,2020-04-09,,West,L1: ESC,87,57,136,22,18,,13,8,
191,2020-04-09,,West,L2: SW,187,117,305,40,34,,10,8,
192,2020-04-09,,West,L3: WW,98,58,135,27,10,,19,15,
193,2020-04-09,,West,L4: HNHB,271,156,385,50,24,,14,12,
194,2020-04-10,,Central,L5: CW,68,51,105,36,10,,17,14,
195,2020-04-10,,Central,L6: MH,130,108,207,63,20,,26,20,
196,2020-04-10,,Central,L8: Central,153,120,247,90,12,,45,41,
197,2020-04-10,,Central,L12: NSM,48,23,71,9,5,,2,2,
198,2020-04-10,,East,L9: CE,163,123,186,78,39,,33,27,
199,2020-04-10,,East,L10: SE,103,72,94,35,14,,8,8,
200,2020-04-10,,East,L11: Champlain,199,128,304,44,25,,21,19,
201,2020-04-10,,North,L13: NE,102,54,122,13,13,,3,2,
202,2020-04-10,,North,L14: NW,30,10,40,1,0,,1,0,
203,2020-04-10,,Toronto,L7: Toronto,373,256,474,120,56,,48,39,
204,2020-04-10,,West,L1: ESC,87,56,136,29,18,,12,11,
205,2020-04-10,,West,L2: SW,187,110,305,24,36,,10,4,
206,2020-04-10,,West,L3: WW,98,54,135,29,10,,17,17,
207,2020-04-10,,West,L4: HNHB,271,143,385,48,23,,14,11,
208,2020-04-11,,Central,L5: CW,68,49,105,14,11,,17,4,
209,2020-04-11,,Central,L6: MH,130,104,207,66,13,,28,23,
210,2020-04-11,,Central,L8: Central,153,128,247,91,18,,46,41,
211,2020-04-11,,Central,L12: NSM,48,24,71,11,6,,2,2,
212,2020-04-11,,East,L9: CE,163,118,186,73,40,,32,24,
213,2020-04-11,,East,L10: SE,103,65,94,37,11,,6,6,
214,2020-04-11,,East,L11: Champlain,199,126,304,34,26,,22,15,
215,2020-04-11,,North,L13: NE,102,58,122,12,10,,3,1,
216,2020-04-11,,North,L14: NW,30,11,40,1,1,,1,0,
217,2020-04-11,,Toronto,L7: Toronto,373,247,474,115,51,,49,37,
218,2020-04-11,,West,L1: ESC,87,61,136,28,21,,12,10,
219,2020-04-11,,West,L2: SW,187,103,305,22,34,,11,9,
220,2020-04-11,,West,L3: WW,98,54,135,28,9,,19,17,
221,2020-04-11,,West,L4: HNHB,271,146,385,43,19,,13,7,
222,2020-04-12,,Central,L5: CW,68,51,105,36,8,,20,16,
223,2020-04-12,,Central,L6: MH,130,105,207,72,19,,25,22,
224,2020-04-12,,Central,L8: Central,153,129,247,84,22,,45,38,
225,2020-04-12,,Central,L12: NSM,48,23,71,10,2,,2,2,
226,2020-04-12,,East,L9: CE,163,115,186,69,39,,29,22,
227,2020-04-12,,East,L10: SE,103,71,94,38,11,,5,5,
228,2020-04-12,,East,L11: Champlain,199,125,304,42,31,,22,19,
229,2020-04-12,,North,L13: NE,102,57,122,14,10,,3,1,
230,2020-04-12,,North,L14: NW,30,13,40,1,3,,1,0,
231,2020-04-12,,Toronto,L7: Toronto,373,241,474,105,59,,49,35,
232,2020-04-12,,West,L1: ESC,87,56,136,27,16,,16,14,
233,2020-04-12,,West,L2: SW,187,105,305,13,37,,11,4,
234,2020-04-12,,West,L3: WW,98,57,135,29,11,,19,17,
235,2020-04-12,,West,L4: HNHB,271,145,385,43,15,,16,8,
236,2020-04-13,,Central,L5: CW,68,55,105,30,10,,19,16,
237,2020-04-13,,Central,L6: MH,130,108,207,75,19,,26,19,
238,2020-04-13,,Central,L8: Central,153,129,247,88,21,,42,36,
239,2020-04-13,,Central,L12: NSM,48,25,71,8,5,,2,2,
240,2020-04-13,,East,L9: CE,163,114,186,58,36,,30,19,
241,2020-04-13,,East,L10: SE,103,71,94,32,14,,4,4,
242,2020-04-13,,East,L11: Champlain,199,125,304,42,25,,24,19,
243,2020-04-13,,North,L13: NE,102,58,122,13,14,,2,1,
244,2020-04-13,,North,L14: NW,30,14,40,3,3,,1,0,
245,2020-04-13,,Toronto,L7: Toronto,373,250,474,121,65,,46,41,
246,2020-04-13,,West,L1: ESC,87,54,136,25,14,,14,14,
247,2020-04-13,,West,L2: SW,187,109,305,12,30,,11,3,
248,2020-04-13,,West,L3: WW,98,58,135,27,7,,19,17,
249,2020-04-13,,West,L4: HNHB,271,155,385,38,19,,15,8,
250,2020-04-18,,East,L11: Champlain,199,118,312,40,23,,14,10,
251,2020-04-18,,North,L13: NE,102,53,132,11,18,,2,2,
252,2020-04-18,,North,L14: NW,30,13,51,5,3,,1,1,
267,2020-04-16,,West,L1: ESC,87,44,136,21,10,,14,13,
268,2020-04-16,,West,L2: SW,187,113,305,33,18,,11,11,
269,2020-04-16,,West,L3: WW,98,49,135,25,8,,16,12,
270,2020-04-16,,West,L4: HNHB,271,167,385,41,25,,13,6,
271,2020-04-16,,Central,L5: CW,68,53,105,35,14,,20,19,
272,2020-04-16,,Central,L6: MH,130,103,207,65,18,,23,16,
273,2020-04-16,,Central,L8: Central,153,130,247,88,25,,41,35,
274,2020-04-16,,Central,L12: NSM,48,33,71,11,7,,2,2,
275,2020-04-16,,Toronto,L7: Toronto,373,253,474,131,44,,57,50,
276,2020-04-16,,East,L9: CE,163,126,186,63,46,,26,18,
277,2020-04-16,,East,L10: SE,103,65,94,28,13,,4,3,
278,2020-04-16,,East,L11: Champlain,199,122,304,44,32,,15,12,
279,2020-04-16,,North,L13: NE,102,52,122,15,18,,2,2,
280,2020-04-16,,North,L14: NW,30,11,40,3,2,,1,1,
309,2020-04-15,,West,L1: ESC,87,46,136,22,6,,16,15,
310,2020-04-15,,West,L2: SW,187,114,305,32,27,,12,11,
311,2020-04-15,,West,L3: WW,98,49,135,23,6,,17,15,
312,2020-04-15,,West,L4: HNHB,271,156,385,43,20,,14,7,
313,2020-04-15,,Central,L5: CW,68,53,105,31,12,,17,14,
314,2020-04-15,,Central,L6: MH,130,111,207,66,20,,26,17,
315,2020-04-15,,Central,L8: Central,153,128,247,82,20,,41,35,
316,2020-04-15,,Central,L12: NSM,48,36,71,8,8,,2,1,
317,2020-04-15,,Toronto,L7: Toronto,373,250,474,122,45,,53,45,
318,2020-04-15,,East,L9: CE,163,112,186,67,40,,24,20,
319,2020-04-15,,East,L10: SE,103,64,94,32,17,,4,4,
320,2020-04-15,,East,L11: Champlain,199,128,304,42,37,,19,14,
321,2020-04-15,,North,L13: NE,102,60,122,17,18,,2,1,
322,2020-04-15,,North,L14: NW,30,11,40,3,3,,1,1,
323,2020-04-18,,West,L1: ESC,87,51,145,23,9,,15,13,
324,2020-04-18,,West,L2: SW,187,114,202,26,22,,13,10,
325,2020-04-18,,West,L3: WW,98,46,123,24,10,,15,13,
326,2020-04-18,,West,L4: HNHB,271,152,391,39,30,,9,5,
327,2020-04-18,,Central,L5: CW,68,54,99,35,12,,21,19,
328,2020-04-18,,Central,L6: MH,130,96,186,55,21,,24,18,
329,2020-04-18,,Central,L8: Central,153,136,274,88,28,,41,34,
330,2020-04-18,,Central,L12: NSM,48,31,79,10,6,,2,2,
331,2020-04-18,,Toronto,L7: Toronto,373,246,472,111,46,,58,47,
332,2020-04-18,,East,L9: CE,163,114,232,62,36,,28,19,
333,2020-04-18,,East,L10: SE,103,66,121,27,14,,4,3,
